Country,Alcoholic Beverages,Animal Products,Animal fats,Vegetable Oils,Sugar & Sweeteners,Cereals - Excluding Beer,Vegetables,Obesity,Population,confirmed,deaths,Positive Test Rate,Death Rate
Yemen,0.0364,5.7874,0.0446,1.0811,5.0468,27.2077,3.2135,14.1,29826000.0,2003,580,0.01,28.96
Italy,3.1892,19.0329,0.2834,1.4224,1.7175,8.5417,6.9463,22.9,60296000.0,283180,35587,0.47,12.57
United Kingdom,5.2632,18.8798,0.2754,0.7372,2.4383,6.5412,4.5851,29.5,67160000.0,360544,41697,0.54,11.57
Belgium,5.372999999999999,17.7279,0.8559,0.564,3.6514,6.6704,6.8161,24.5,11515000.0,90568,9917,0.79,10.95
Mexico,4.4105,15.1527,0.1672,0.6856,3.2266,11.4325,5.0713,28.4,127792000.0,652364,69649,0.51,10.68
Ecuador,3.2929,15.3469,0.1277,1.3777,1.7369999999999999,14.9132,2.4981,19.3,17511000.0,113206,10749,0.65,9.5
France,4.1631,21.7097,0.7907,0.8675,2.611,6.9951,5.1223,23.2,64940000.0,392243,30819,0.6,7.86
Netherlands,4.3903,24.2977,0.3343,0.8485,2.3446,4.9685,3.2587,23.1,17467000.0,82016,6285,0.47,7.66
Chad,0.8297,12.2804,0.2023,0.4556,1.3449,21.6017,0.9141,4.8,16877000.0,1051,79,0.01,7.52
Sweden,4.4232,24.0627,1.0442,0.3967,2.5211,6.1923,4.611000000000001,22.1,10377000.0,86194,5843,0.83,6.78
Canada,4.8441,16.0365,0.8084,1.3441,5.0237,6.4236,5.4961,31.3,38190000.0,136956,9213,0.36,6.73
Fiji,1.8598,7.8511,0.2922,0.8683,9.7259,10.144,3.9255,30.0,896000.0,32,2,0.0,6.25
Liberia,1.0338,3.7603,0.0264,1.9567,1.1236,16.1465,3.1728,8.6,5058000.0,1315,82,0.03,6.24
Sudan,0.0,13.1178,0.0958,0.9366,3.1231,12.9192,8.3477,7.4,43849000.0,13437,833,0.03,6.2
Hungary,6.7533,20.0268,1.0595,0.7214,2.5433,7.5908,5.6788,28.6,9767000.0,10191,630,0.1,6.18
Ireland,7.5703,18.5712,0.871,0.7497,4.0147,6.3057,4.9510000000000005,26.9,5003000.0,30360,1781,0.61,5.87
Niger,0.0558,7.2385,0.1185,0.3975,0.3666,22.2843,10.6117,4.7,24189000.0,1178,69,0.0,5.86
